id,type,text1,text2,text3,notes
teiwaz,FACTION,"Teiwaz is Jupiter's biggest conglomerate, which represents the Outer Sphere. It has countless corporate affiliates and its vast range of activities encompasses heavy industry, manufacturing, construction, wholesale and retail trade, financing, medical care, education, agriculture, private military work, and transportation. The organization is also rumored to be run like a mafia.",,,
gjallarhorn,FACTION,"Gjallarhorn is a peacekeeping organization established by Agnika Kaieru and the nations of Earth, and its origin can be traced back to the Calamity War era. To prevent humanity from facing extinction due to the Calamity War, a group of like-minded individuals from across all nations and power blocs gathered together to end the fighting. To that end, they developed the Alaya Vijnana System and the Gundam Frames to possess the decisive edge necessary to end the war. Gjallarhorn successfully ended the Calamity War and used their military power to maintain peace, and keep an independent eye on the four economic blocs.",,,
,,,,,
ibo_orbital_station_saisei,CUSTOM,"This is the Saisei, it is the Large Planetary Cruiser owned by Teiwaz. It is a huge ship and the heart of Teiwaz.",,,
ibo_station_gjallarhorn,CUSTOM,This is a Gjallarhorn administrative station. It is the nicer way of putting the fact that they patrol the sector to harass anyone.,,,
,,,,,
ibo_halfbeack,SHIP,"The Halfbeak-class is the main battleship of the Gjallarhorn space fleet. It is equipped with an Ahab Reactor and Nanolaminate Armor. During combat, the ship's bridge can retract into the body. The mobile suits are launched from a catapult mounted under the ship, and return through a rear hatch.",,,
ibo_isaribi,SHIP,"An Armored Assault ship usually found with independant merchants or mercenaries, it's main purpose is typically for light combat encounters or escort. It comes equipped with two fixed auto-cannons on the port and starboard, as well as two torpedo tubes in the front of the ship. At the bottom of the ship is a cargo hold mainly used to send out fighter craft.",,,
ibo_biscoe,SHIP,"A small ship with the sole purpose to carry a single set of mobile-suits. Gjallarhorn uses it for diplomatic or routine mission where only a few mobile-suits are required.",,,
,,,,,
ibo_graze_custom,SHIP,"Created from the captured Graze units. The Graze is a state of the art mobile suit series built by Gjallarhorn and deployed within the Earth Sphere and space. It is developed based on the Calamity War era mobile suit, V08-1228 Grimgerde and its Valkyrja Frame. An excellent machine with low development and operational cost, the Graze is said to be the culmination of current technology.

The machine's frame was carefully designed for general purpose use, and through exchanging armaments and armor, it can adapt to various environments as well as use various loadouts to meet the needs of different mission. The frame was also developed to be lighter and simpler; compared to the Gundam Frame that represents Calamity War era MS, the Graze’s frame is made using much lesser structural material.",,,
ibo_rodi_man,SHIP,"The Man Rodi is the main short-to-middle range combat mobile suit. It is a restored machine that uses the Rodi frame. Many mobile suits using this frame were mass produced during the middle period of the Calamity War, and served as the main units in the Outer Sphere for many years. As the Rodi frame does not have a defining characteristic feature, it also does not have much drawbacks either and is thus considered to be very versatile. Due to its versatility, it's able to support heavy armor and Man Rodi is loaded with such until its maximum weight capacity. The Man Rodi is customized primarily for space as its heavy armor would be a huge burden under gravity.",,,
ibo_rodi_landman,SHIP,"Some Man Rodis used by the space pirates Brewers were modified for ground use after being captured, and they were eventually deployed to Tekkadan's Earth branch. Since it's equipped with the Alaya-Vijnana System, it can display its full mobility under Earth's gravity and Mars's. The Landman Rodi's legs use high class parts, unlike the low cost space-use version of the Man Rodi, hence the suit is also capable of operating in space without any issue.",,,
